track_name;artist(s)_name;artist_count;released_year;released_month;released_day;in_spotify_playlists;in_spotify_charts;streams;in_apple_playlists;in_apple_charts;in_deezer_playlists;in_deezer_charts;in_shazam_charts;bpm;key;mode;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
Seven (feat. Latto) (Explicit Ver.);Latto, Jung Kook;2.00;2023.00;7.00;14.00;553.00;147.00;141381703.00;43.00;263.00;45.00;10.00;826.00;125.00;B;Major;80.00;89.00;83.00;31.00;0.00;8.00;4.00
LALA;Myke Towers;1.00;2023.00;3.00;23.00;1474.00;48.00;133716286.00;48.00;126.00;58.00;14.00;382.00;92.00;C#;Major;71.00;61.00;74.00;7.00;0.00;10.00;4.00
vampire;Olivia Rodrigo;1.00;2023.00;6.00;30.00;1397.00;113.00;140003974.00;94.00;207.00;91.00;14.00;949.00;138.00;F;Major;51.00;32.00;53.00;17.00;0.00;31.00;6.00
Cruel Summer;Taylor Swift;1.00;2019.00;8.00;23.00;7858.00;100.00;800840817.00;116.00;207.00;125.00;12.00;548.00;170.00;A;Major;55.00;58.00;72.00;11.00;0.00;11.00;15.00
WHERE SHE GOES;Bad Bunny;1.00;2023.00;5.00;18.00;3133.00;50.00;303236322.00;84.00;133.00;87.00;15.00;425.00;144.00;A;Minor;65.00;23.00;80.00;14.00;63.00;11.00;6.00
Sprinter;Dave, Central Cee;2.00;2023.00;6.00;1.00;2186.00;91.00;183706234.00;67.00;213.00;88.00;17.00;946.00;141.00;C#;Major;92.00;66.00;58.00;19.00;0.00;8.00;24.00
Ella Baila Sola;Eslabon Armado, Peso Pluma;2.00;2023.00;3.00;16.00;3090.00;50.00;725980112.00;34.00;222.00;43.00;13.00;418.00;148.00;F;Minor;67.00;83.00;76.00;48.00;0.00;8.00;3.00
Columbia;Quevedo;1.00;2023.00;7.00;7.00;714.00;43.00;58149378.00;25.00;89.00;30.00;13.00;194.00;100.00;F;Major;67.00;26.00;71.00;37.00;0.00;11.00;4.00
fukumean;Gunna;1.00;2023.00;5.00;15.00;1096.00;83.00;95217315.00;60.00;210.00;48.00;11.00;953.00;130.00;C#;Minor;85.00;22.00;62.00;12.00;0.00;28.00;9.00
La Bebe - Remix;Peso Pluma, Yng Lvcas;2.00;2023.00;3.00;17.00;2953.00;44.00;553634067.00;49.00;110.00;66.00;13.00;339.00;170.00;D;Minor;81.00;56.00;48.00;21.00;0.00;8.00;33.00
un x100to;Bad Bunny, Grupo Frontera;2.00;2023.00;4.00;17.00;2876.00;40.00;505671438.00;41.00;205.00;54.00;12.00;251.00;83.00;F#;Minor;57.00;56.00;72.00;23.00;0.00;27.00;5.00
Super Shy;NewJeans;1.00;2023.00;7.00;7.00;422.00;55.00;58255150.00;37.00;202.00;21.00;5.00;168.00;150.00;F;Minor;78.00;52.00;82.00;18.00;0.00;15.00;7.00
Flowers;Miley Cyrus;1.00;2023.00;1.00;12.00;12211.00;115.00;1316855716.00;300.00;215.00;745.00;58.00;1021.00;118.00;0;Major;71.00;65.00;68.00;6.00;0.00;3.00;7.00
Daylight;David Kushner;1.00;2023.00;4.00;14.00;3528.00;98.00;387570742.00;80.00;156.00;182.00;24.00;1281.00;130.00;D;Minor;51.00;32.00;43.00;83.00;0.00;9.00;3.00
As It Was;Harry Styles;1.00;2022.00;3.00;31.00;23575.00;130.00;2513188493.00;403.00;198.00;863.00;46.00;0.00;174.00;F#;Minor;52.00;66.00;73.00;34.00;0.00;31.00;6.00
Kill Bill;SZA;1.00;2022.00;12.00;8.00;8109.00;77.00;1163093654.00;183.00;162.00;161.00;12.00;187.00;89.00;G#;Major;64.00;43.00;73.00;5.00;17.00;16.00;4.00
Cupid - Twin Ver.;Fifty Fifty;1.00;2023.00;2.00;24.00;2942.00;77.00;496795686.00;91.00;212.00;78.00;6.00;0.00;120.00;B;Minor;78.00;76.00;59.00;43.00;0.00;34.00;3.00
"What Was I Made For? [From The Motion Picture ""Barbie""]";Billie Eilish;1.00;2023.00;7.00;13.00;873.00;104.00;30546883.00;80.00;227.00;95.00;24.00;1173.00;78.00;0;Major;44.00;14.00;9.00;96.00;0.00;10.00;3.00
Classy 101;Feid, Young Miko;2.00;2023.00;3.00;31.00;2610.00;40.00;335222234.00;43.00;100.00;54.00;14.00;187.00;100.00;B;Major;86.00;67.00;66.00;14.00;0.00;12.00;16.00
Like Crazy;Jimin;1.00;2023.00;3.00;24.00;596.00;68.00;363369738.00;8.00;104.00;23.00;2.00;29.00;120.00;G;Major;63.00;36.00;73.00;0.00;0.00;36.00;4.00
LADY GAGA;Gabito Ballesteros, Junior H, Peso Pluma;3.00;2023.00;6.00;22.00;332.00;26.00;86444842.00;11.00;163.00;10.00;4.00;0.00;140.00;F;Minor;65.00;87.00;74.00;22.00;0.00;42.00;4.00
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ;Taylor Swift;1.00;2023.00;7.00;7.00;516.00;38.00;52135248.00;73.00;119.00;42.00;1.00;150.00;123.00;F#;Major;69.00;82.00;76.00;6.00;0.00;6.00;3.00
I Wanna Be Yours;Arctic Monkeys;1.00;2013.00;1.00;1.00;12859.00;110.00;1297026226.00;24.00;98.00;582.00;2.00;73.00;135.00;0;Minor;48.00;44.00;42.00;12.00;2.00;11.00;3.00
Peso Pluma: Bzrp Music Sessions, Vol. 55;Bizarrap, Peso Pluma;2.00;2023.00;5.00;31.00;1313.00;40.00;200647221.00;17.00;152.00;32.00;11.00;139.00;133.00;F;Minor;85.00;81.00;67.00;26.00;0.00;12.00;5.00
